name,acronym,best_for,components,template,example
AIDA,Attention Interest Desire Action,landing pages ads sales pages,Attention > Interest > Desire > Action,"[Hook]. [Interesting detail]. [Desirable outcome]. [CTA].","Wasting hours in status meetings? TaskFlow turns updates into one async feed. Ship faster without calendar chaos. Start free."
PAS,Problem Agitate Solution,cold outreach ads pain copy,Problem > Agitate > Solution,"[Problem]? [Agitate cost]. [Solution] fixes it.","Chasing invoices by email? Late payments drain cash you earned. Billed auto-reminds clients so you get paid on time."
FAB,Feature Advantage Benefit,product pages feature sections,Feature > Advantage > Benefit,"[Feature] lets you [advantage] so you can [benefit].","Offline mode syncs notes without wifi so you never lose an idea on a flight."
BAB,Before After Bridge,transformation case studies,Before > After > Bridge,"[Painful before]. [Better after]. [Product] is the bridge.","Manual reports took all Friday. Now they build themselves. Dashly is the bridge."
4Ps,Promise Picture Proof Push,long-form sales email,Promise > Picture > Proof > Push,"[Promise]. [Picture outcome]. [Proof]. [Push now].","Double your reply rate. Imagine a full pipeline. 1,200 reps already do. Start today."
PASTOR,Problem Amplify Story Transformation Offer Response,webinars sales letters,Problem > Amplify > Story > Transformation > Offer > Response,"[Problem] [Amplify] [Story] [Transformation] [Offer] [Response]","..."
QUEST,Qualify Understand Educate Stimulate Transition,long sales pages,Qualify > Understand > Educate > Stimulate > Transition,"[Qualify reader] [Empathize] [Teach] [Excite] [CTA]","..."
Cost of Inaction,CoI,agitation urgency,Status Quo > Loss > Time Decay,"Without [solution] you lose [amount] every [timeframe].","Without automation you lose 10 hours a week, every week."
Star Story Solution,SSS,storytelling content,Star > Story > Solution,"[Relatable hero] [Their struggle] [How solution helped]","Maria, a solo founder, drowned in support tickets. Then she found Helply."
Problem Promise Proof Proposal,4P-alt,ads short copy,Problem > Promise > Proof > Proposal,"[Problem] [Promise] [Proof] [Offer]","..."
ACCA,Awareness Comprehension Conviction Action,education-led copy,Awareness > Comprehension > Conviction > Action,"[Make aware] [Explain] [Convince] [CTA]","..."
The 5 Objections,5O,sales pages FAQ,No need > No money > No hurry > No trust > No desire,"Preempt each objection with proof and reframe","..."
Slippery Slide,SS,long copy retention,Hook > each line pulls to next,"Open loops + short sentences keep reading","..."
SCQA,Situation Complication Question Answer,B2B narrative decks,Situation > Complication > Question > Answer,"[Status quo] [Problem arises] [Key question] [Your answer]","..."
PPPP,Picture Promise Prove Push,ads emails,Picture > Promise > Prove > Push,"[Picture] [Promise] [Prove] [Push]","..."
Feature Benefit Meaning,FBM,product marketing,Feature > Benefit > Meaning,"[Feature] which means [benefit] so you feel [meaning]","..."
Hook Story Offer,HSO,social ads DR,Hook > Story > Offer,"[Scroll-stopper] [Relatable story] [Clear offer]","I fired my agency and grew faster. Here is how. Get the playbook."
Value Stack,VS,pricing offers,List value > sum > price reveal,"[Item ($)] x N = [total value]. Today: [price].","..."
Open Loop,OL,hooks threads emails,Tease > delay payoff,"[Intriguing claim]... [deliver later]","The one email that booked 40 demos (template below)."
Rule of One,Ro1,all copy,One reader one idea one promise one CTA,"Focus every piece on a single idea and action","..."
