channel,type,best_content,tone,audience,hook_window,best_for,notes
Instagram,organic social,Reels carousels photos,visual aspirational,B2C 18-45,1-2s,brand awareness community,Carousels drive saves; Reels drive reach
TikTok,organic social,short native video,raw fast trend-aware,B2C Gen-Z millennial,under 1s,viral reach awareness,Hook + payoff fast; use trending sounds
LinkedIn,organic social,text posts documents articles,professional insightful,B2B professionals,first line,B2B leads thought leadership,Hook before the see-more cutoff
X Twitter,organic social,threads takes replies,concise opinionated,tech founders media,first tweet,reach conversation community,Thread = hook tweet + value + CTA
YouTube,owned video,long video + Shorts,educational entertaining,broad search-driven,15s,SEO evergreen trust,Title + thumbnail drive CTR
Facebook,organic social,community groups video,conversational,B2C 30-60,first line,community local reach,Groups still strong; older skew
Pinterest,organic social,vertical pins how-tos,inspirational,DIY shopping female-skew,image,evergreen search traffic,Pins rank for months
Email,owned,newsletter sequences,personal direct,your list,subject line,retention conversion nurture,Highest ROI owned channel
Blog SEO,owned,guides listicles comparisons,helpful authoritative,searchers,title + first 100 words,compounding organic traffic,Topic clusters + internal links
Meta Ads,paid,image video carousel,benefit-driven,custom + lookalike,first second,B2C sales retargeting,Campaign > ad set > ad hierarchy
Google Ads,paid,search + display,intent-matching,active searchers,headline,high-intent conversions,Match keyword intent to landing page
Google Display,paid,banner image,visual,broad retarget,image,awareness retargeting,Low intent; great for retargeting
TikTok Ads,paid,native short video,authentic native,B2C young,under 1s,awareness B2C sales,Make ads feel native not polished
LinkedIn Ads,paid,sponsored content lead forms,professional,B2B by title/company,first line,B2B lead gen ABM,Expensive CPC; high-value B2B
Influencer,earned/paid,creator content,authentic native,creator audience,creator-dependent,trust reach social proof,Match creator audience to ICP
Community,earned,helpful answers posts,helpful non-salesy,niche forums Reddit Slack,first line,trust niche reach,Give value first; soft mention
